Airlines,Date_of_Journey,Source,Destination,Dep_times,Arrival_time,Duration,Stops,Price
Vistara,10/11/2021,New Delhi,Mumbai,14:45,23:00,8h 15m,1 Stop,9945
Vistara,10/11/2021,New Delhi,Mumbai,14:45,10:00,19h 15m,1 Stop,9945
Vistara,10/11/2021,New Delhi,Mumbai,14:45,14:30,23h 45m,1 Stop,9945
Air India,10/11/2021,New Delhi,Mumbai,11:00,17:25,6h 25m,1 Stop,9958
Air India,10/11/2021,New Delhi,Mumbai,7:05,13:25,6h 20m,1 Stop,9975
IndiGo,10/11/2021,New Delhi,Mumbai,6:40,16:40,10h 00m,1 Stop,10349
Go First,10/11/2021,New Delhi,Mumbai,9:10,16:15,7h 05m,1 Stop,10549
Vistara,10/11/2021,New Delhi,Mumbai,17:10,21:35,4h 25m,1 Stop,10575
Vistara,10/11/2021,New Delhi,Mumbai,13:40,21:35,7h 55m,1 Stop,10628
Go First,10/11/2021,New Delhi,Mumbai,9:00,17:00,8h 00m,1 Stop,11731
Go First,10/11/2021,New Delhi,Mumbai,12:20,18:10,5h 50m,1 Stop,11977
Go First,10/11/2021,New Delhi,Mumbai,11:50,18:10,6h 20m,1 Stop,11977
Go First,10/11/2021,New Delhi,Mumbai,9:15,18:10,8h 55m,1 Stop,11977
Go First,10/11/2021,New Delhi,Mumbai,10:45,17:00,6h 15m,1 Stop,12309
Go First,10/11/2021,New Delhi,Mumbai,11:30,17:00,5h 30m,1 Stop,13463
Air India,10/11/2021,New Delhi,Mumbai,13:20,17:50,4h 30m,1 Stop,13515
Air India,10/11/2021,New Delhi,Mumbai,22:00,22:20,24h 25m,1 Stop,14408
Air India,10/11/2021,New Delhi,Mumbai,22:00,16:35,18h 35m,1 Stop,15195
Air India,10/11/2021,New Delhi,Mumbai,4:55,13:45,8h 50m,1 Stop,15290
Vistara,10/11/2021,New Delhi,Mumbai,11:10,23:10,12h 00m,1 Stop,15615
IndiGo,10/11/2021,New Delhi,Mumbai,7:20,14:50,7h 30m,1 Stop,15720
SpiceJet,10/11/2021,New Delhi,Mumbai,15:00,12:35,21h 35m,1 Stop,17163
Vistara,10/11/2021,New Delhi,Mumbai,18:40,14:45,20h 05m,1 Stop,18030
Vistara,10/11/2021,New Delhi,Mumbai,11:10,14:45,27h 35m,1 Stop,21285
SpiceJet,10/11/2021,New Delhi,Mumbai,7:20,9:35,2h 15m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,6:20,8:40,2h 20m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,19:45,22:05,2h 20m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,18:55,21:05,2h 10m,Non Stop,3177
Air India,10/11/2021,New Delhi,Mumbai,7:00,9:05,2h 05m,Non Stop,4931
